v1,v2,v3
CStratton00,RCarson10,0
CStratton00,dharmab31,0
CStratton00,mxmnci,0
CStratton00,pnghi320,0
CStratton00,AHarriss155,0
CStratton00,brandondavid714,0
CStratton00,James-Fritz,0
CStratton00,Kevin-Wooden,0
CStratton00,rhawks00,0
CStratton00,Austin-Chandler,0
CStratton00,KyleLuster,0
CStratton00,jcanode,0
CStratton00,thedinosoar,0
CStratton00,justinfernald,0
CStratton00,ReuelAbi,0
CStratton00,MicahWillis,0
CStratton00,JakeHafele101,0
CStratton00,drewesch,0
CStratton00,carsonbfoley,0
CStratton00,Iroe7,0
CStratton00,Jsamyn,0
RCarson10,James-Fritz,1
RCarson10,justinfernald,1
RCarson10,jcanode,1
RCarson10,thedinosoar,1
RCarson10,CStratton00,1
RCarson10,AHarriss155,1
RCarson10,LydiaFritz,1
RCarson10,pnghi320,1
dharmab31,CStratton00,1
mxmnci,hritikb27,1
mxmnci,torvalds,1
mxmnci,mguay22,1
mxmnci,codediodeio,1
mxmnci,streamich,1
mxmnci,CStratton00,1
mxmnci,bfan1256,1
mxmnci,EmersonDove,1
mxmnci,metachris,1
mxmnci,mattgperry,1
mxmnci,Chalarangelo,1
mxmnci,trekhleb,1
mxmnci,isaacs,1
mxmnci,kentcdodds,1
mxmnci,jossmac,1
mxmnci,crubier,1
mxmnci,mxstbr,1
mxmnci,sct,1
mxmnci,Dulaya,1
mxmnci,geohot,1
mxmnci,timgrossmann,1
pnghi320,noahr1936,1
pnghi320,AHarriss155,1
pnghi320,CStratton00,1
pnghi320,Jsamyn,1
pnghi320,James-Fritz,1
pnghi320,justinfernald,1
pnghi320,thedinosoar,1
AHarriss155,Espence308,1
AHarriss155,jakewhitebread,1
AHarriss155,natsukiabe529,1
AHarriss155,malikbawa,1
AHarriss155,Luis-1337,1
AHarriss155,isac-artzi,1
AHarriss155,Jsamyn,1
AHarriss155,James-Fritz,1
AHarriss155,CStratton00,1
AHarriss155,jcanode,1
AHarriss155,RCarson10,1
AHarriss155,thedinosoar,1
AHarriss155,justinfernald,1
AHarriss155,pnghi320,1
AHarriss155,ksharma2606,1
AHarriss155,LydiaFritz,1
James-Fritz,noahr1936,1
James-Fritz,RCarson10,1
James-Fritz,Jsamyn,1
James-Fritz,jcanode,1
James-Fritz,justinfernald,1
James-Fritz,ljw1004,1
James-Fritz,CStratton00,1
jcanode,AHarriss155,1
jcanode,RCarson10,1
jcanode,robtarr,1
jcanode,CStratton00,1
jcanode,Espence308,1
jcanode,jarheadwerm,1
jcanode,James-Fritz,1
jcanode,Jsamyn,1
jcanode,justinfernald,1
jcanode,isac-artzi,1
jcanode,gcustone,1
thedinosoar,RCarson10,1
thedinosoar,Jsamyn,1
thedinosoar,aviviano,1
thedinosoar,BerkanYildiz,1
thedinosoar,pnghi320,1
thedinosoar,Espence308,1
thedinosoar,CStratton00,1
thedinosoar,wilgarrett610,1